Judul,Link_Embed,Info_Detail,Deskripsi,URL_Sumber,Tipe_Media,Lirik
Tac no Uta (1972),https://drive.google.com/file/d/1Wq1W3fPj4lvTeTPNdBF3BlFJImFwuqAt/preview,"Artist: Honey Knights, Misuzu Children's Choral Group | Released: 1972 | Album: Ultraman Ace Original Soundtrack",TAC no Uta is an insert song from Ultraman Ace. It was performed by Honey Knights and Misuzu Jidou Gasshoudan.,https://ferdevil87.github.io/ace/
Ultraman Ace (1972),https://drive.google.com/file/d/1be2YFk3QRSOOeTAmQx4_yd9DJ2NnhQmv/preview,Artist: Honey Knights and Misuzu Children's Choir | Released: 1972 | Album: Ultraman Ace Original Soundtrack,Ultraman Ace (ウルトラマンエース) is the opening theme of the show of the same name.,https://ferdevil87.github.io/tac/
Ultraman Taro (1973),https://drive.google.com/file/d/15vlWczmGT915G25arji2GInIhfbyFvD0/preview,Artist: Taro Takemura and Mizumi Children's Choir | Released: 1973 | Album: Ultraman Taro Original Soundtrack,"Ultraman Taro (ウルトラマンタロウ, Urutoraman Taro) is the opening theme of Ultraman Taro.",https://ferdevil87.github.io/Taro/
Mother of Ultra Ballad (1973),https://drive.google.com/file/d/1OndwkL6evkb-46mSEcgc9bpX1svoTpxx/preview,Artist: Pegī Hayama (Ultra Mother) | Released: 1973 | Album: Ultraman Taro Original Soundtrack,Mother of Ultra Ballad is the insert song of Ultraman Taro and Song of Ultra Mother.,https://ferdevil87.github.io/motherballad/
Ultra Roku Kyodai (1973),https://drive.google.com/file/d/1OD0QwwExXrVMQJ-uYE_Y31Rd9ju6SuKd/preview,Artist: Taro Takemura and Mizumi Children's Choir | Released: 1973 | Album: Ultraman Taro Original Soundtrack,"Ultra Roku Kyodai (ウルトラ六兄弟, Urutora Roku Kyōdai, lit. Six Ultra Brothers) is an insert theme for Ultraman Taro, featured primarily in episodes 18, 25 and 33 of the series, although its instrumental version had appeared in the series prior.",https://ferdevil87.github.io/rokukyodai/
Ultraman Zoffy (1973),https://drive.google.com/file/d/1VLQgXEpdSEF9cgetf5wO6dKwuvZwcVYJ/preview,"Artist: Kondo Mitsuko, Columbia Yuri Kagokai | Released: 1973 | Album: Ultraman Taro Original Soundtrack",Ultraman Zoffy is an opening theme (OP) from Ultraman Zoffy: Ultra Warriors vs. the Giant Monster Army. It was performed by .,https://ferdevil87.github.io/zoffy/
Ultraman Leo (1974),https://drive.google.com/file/d/1cO16JQLt0YDZoTLwCS6TDRjPNsHQVANm/preview,Artist: Ryu Manatsu and Mizumi Children's Chorus | Released: 1974 | Album: Ultraman Leo Original Soundtrack,"Ultraman Leo (ウルトラマンレオ, Urutoraman Reo) was the first opening song to Ultraman Leo in episode 1 until episode 13. It was often used afterwards as an insert song during fight scenes, as well as continuing to serve as the song used in the next episode previews.",https://ferdevil87.github.io/Leo/
Tatakae! Ultraman Leo (1974),https://drive.google.com/file/d/1_EmmHnticX8QZMjfkQdy4O0oNxeQXyOC/preview,Artist: Yuki Hide and Mizumi Children's Choir | Released: 1974 | Album: Ultraman Leo Original Soundtrack,"Tatakae! Ultraman Leo (戦え！ウルトラマンレオ, Tatakae! Urutoraman Reo, lit. Fight! Ultraman Leo) is the second opening theme song for Ultraman Leo.",https://ferdevil87.github.io/TatakaeLeo/
Hoshizora no Ballad (1974),https://drive.google.com/file/d/1bZEEp-lknS_BRxyJ-klYsWvziyowgWsa/preview,Artist: Ryu Manatsu | Released: 1974 | Album: Ultraman Leo Original Soundtrack,"Hoshizora no Ballad (星空のバラード, lit. Ballad of the Starry Sky) is an insert theme from Ultraman Leo, told from the perspective of Gen Otori. It was featured in episode 1 of the series.",https://ferdevil87.github.io/hosizora/
MAC no March (1974),https://drive.google.com/file/d/1UDHZ1l6Rf9DnPaKlA6Tu4NPfh2psWcAU/preview,"Artist: Ryu Manatsu, Shounen Shoujo Gasshoudan Mizuumi | Released: 1974 | Album: Ultraman Leo Original Soundtrack",MAC no March is an insert song from Ultraman Leo. It was performed by Ryu Manetsu.,https://ferdevil87.github.io/MAC/
The☆Ultraman (1979),https://drive.google.com/file/d/15BoFyKM9TpWLxd_D1QF624Nht3GIpxyw/preview,Artist: Isao Sasaki and Columbia All-Stars | Released: 1979 | Album: The Ultraman Original Soundtrack,"The☆Ultraman (ザ☆ウルトラマン, Za Urutoraman) is the theme song of The☆Ultraman.",https://ferdevil87.github.io/joneus/
Ai no Yuusha Tachi (1979),https://drive.google.com/file/d/1BWVbvVzbfseXePQB9dcmm8BNMfu4Tk0L/preview,Artist: Isao Sasaki and Columbia All-Stars | Released: 1979 | Album: The Ultraman Original Soundtrack,Ai no Yuusha Tachi is the ending song of The☆Ultraman.,https://ferdevil87.github.io/ainoyuusha/
