Judul,Link_Embed,Info_Detail,Deskripsi,URL_Sumber,Tipe_Media,Lirik
NEXT NEW HERO (2022),https://drive.google.com/file/d/1XCl8oZwb_vORP6KJ5_sh44u08JkiXmHk/preview,Artist: Takeshi Tsuruno | Released: 2022 | Single: NEXT NEW HERO,"NEXT NEW HERO is theme song of Ultra Heroes EXPO 2022 Summer Festival. The song was released on August 10, 2022.",https://ferdevil87.github.io/nextnewhero/
ZERO to INFINITY (2021),https://drive.google.com/file/d/1DrA3CRzV6zCxaVlgLptozbHdaj1tVDpn/preview,Artist: Mamoru Miyano | Released: 2021 | Album: MAMORU MIYANO STUDIO LIVE STREAMING!,"ZERO to INFINITY is the opening theme of Ultra Galaxy Fight: The Absolute Conspiracy. It was also used as an insert theme during the final battle of the first arc, The Beginning.",https://ferdevil87.github.io/zerotoinblok/
RESTART ~Electric Ver~ (2020),https://drive.google.com/file/d/1yJNYGFLARP8oMNWyOlOQxL52b_3VodHc/preview,Artist: Voyager | Released: 2020 | Single: Blue Spiral,"RESTART is the ending theme of Ultra Galaxy Fight: The Absolute Conspiracy. It was first released on the album for Ultra Spiral, the opening of Ultra Galaxy Fight: New Generation Heroes. The original used an acoustic guitar instead of an electric one. The electric guitar version was also included in the ULTRA GALAXY FIGHT Original Soundtrack.",https://ferdevil87.github.io/RestartElec/
RESTART ~Acoustic Ver~ (2020),https://drive.google.com/file/d/1Gqg0zxwWEa6N01qna57eh0-IQ7pxga7A/preview,Artist: Voyager | Released: 2020 | Single: Blue Spiral,"RESTART is the ending theme of Ultra Galaxy Fight: The Absolute Conspiracy. It was first released on the album for Ultra Spiral, the opening of Ultra Galaxy Fight: New Generation Heroes. The original used an acoustic guitar instead of an electric one. The electric guitar version was also included in the ULTRA GALAXY FIGHT Original Soundtrack.",https://ferdevil87.github.io/RestartAcc/
Ultra Spiral (2019),https://drive.google.com/file/d/1vhlL1-5f3LTcQq0dmgzpjjdi8NlfT9Fq/preview,Artist: Voyager | Released: 2019 | Album: Ultra Spiral,"Ultra Spiral is the opening and ending theme song of Ultra Galaxy Fight: New Generation Heroes. It has since been frequently reused, such as being used as the opening theme of Ultraman Chronicle Z: Heroes' Odyssey.",https://ferdevil87.github.io/UltraSpiral/
Super Nova (2021),https://drive.google.com/file/d/1UdNv7rBH3N9dM-Yjg5rsioee85UOwjaz/preview,Artist: Mion Yano | Released: 2021 | Single: Super Nova,Super Nova is an insert theme first used in Ultra Heroes EXPO 2021 Battle Stage. It was later used as the ending theme for Ultra Galaxy Fight: The Destined Crossroad.,https://ferdevil87.github.io/SuperNova/
Now or Never! (2022),https://drive.google.com/file/d/1tf77dWUcqPVzTXAXdq5hnBX9An8TlKY1/preview,Artist: Konomi Suzuki from the Ultra League | Released: 2022 | Album: ULTRA GALAXY FIGHT Original Soundtrack,"Now or Never! is the opening song of Ultra Galaxy Fight: The Destined Crossroad. The song was recorded in both Japanese and English for the languages' respective dubs of the series. A version that mixed both recordings together was used when the series became available on YouTube. It was first released on CD on July 6, 2022, then again as part of ULTRA GALAXY FIGHT Original Soundtrack on August 3.",https://ferdevil87.github.io/NoworNever/
Wake up Decker (2022),https://drive.google.com/file/d/1Apm6PsoF4qH8kRlKgAmOeBmGfTqq76tO/preview,Artist: SCREEN mode | Released: 2022 | Album: Wake up Decker,Wake up Decker! is the main opening theme from series Ultraman Decker.,https://ferdevil87.github.io/WakeUp/
SOUL TRIVE! (2022),https://drive.google.com/file/d/19h5k_WU3v4eKl3B0tbCWjyLLp1Impv77/preview,Artist: SCREEN mode | Released: 2022 | Album: Wake up Decker,"SOUL TRIVE! is an song from the album of Wake up Decker in Ultraman Decker. It was performed by SCREEN mode.The full version on CD was released on July 27, 2022.",https://ferdevil87.github.io/SoulTrive/
Dazzling FLASH! (2022),https://drive.google.com/file/d/1ftpquQt3e623JkbXhsfRZr7wn7BhZOoP/preview,Artist: SCREEN mode | Released: 2022 | Album: Ultraman Decker Type Change Theme Song Mini Album,"Dazzling Flash is a theme song for Ultraman Decker Flash Type, released on the Ultraman Decker Type Change Theme Song Mini Album..",https://ferdevil87.github.io/DazzlingFlash/
Discover STRONG (2022),https://drive.google.com/file/d/1HZPPncJFgszSJi7gkDCVA1Jq-Osp227d/preview,Artist: SCREEN mode | Released: 2022 | Album: Ultraman Decker Type Change Theme Song Mini Album,"Discover STRONG is a theme song for Ultraman Decker Strong Type, released on the Ultraman Decker Type Change Theme Song Mini Album.",https://ferdevil87.github.io/DiscoverStrong/
Definitive MIRACLE (2022),https://drive.google.com/file/d/1gMLlrjYZ7dD9l3SbF56IfZqRGYxz876C/preview,Artist: SCREEN mode | Released: 2022 | Album: Ultraman Decker Type Change Theme Song Mini Album,"Definitive MIRACLE is a theme song for Ultraman Decker Miracle Type, released on the Ultraman Decker Type Change Theme Song Mini Album.",https://ferdevil87.github.io/miracle/
Decker DYNAMIC (2022),https://drive.google.com/file/d/14mtVe0lsdjmsqms8b2xcUs_LNZVxXBa_/preview,Artist: SCREEN mode | Released: 2022 | Album: Ultraman Decker Type Change Theme Song Mini Album,Decker DYNAMIC is a character song from Ultraman Decker. It was performed by 勇-YOU- from SCREEN mode.,https://ferdevil87.github.io/dynamic/
Kanata Toku (2022),https://drive.google.com/file/d/1wpoOjXngt7OZe2WQ1BCjM3Mv9ng0tW7B/preview,Artist: Hironobu Kageyama | Released: 2022 | Single: カナタトオク,"Kanata Toku (カナタトオク, Kanata Tōku, lit. Far Away) is the first ending theme for Ultraman Decker",https://ferdevil87.github.io/kanatatoku/
